Job Title,AB_low,AB_med,AB_high,BC_low,BC_med,BC_high,MB_low,MB_med,MB_high,NB_low,NB_med,NB_high,NL_low,NL_med,NL_high,NT_low,NT_med,NT_high,NS_low,NS_med,NS_high,ON_low,ON_med,ON_high,PE_low,PE_med,PE_high,SK_low,SK_med,SK_high,YT_low,YT_med,YT_high,QC_low,QC_med,QC_high
Legislators,,,,30748,65769,144465,25061,53680,98750,24640,76008,142341,44335,96129,155370,48293,103029,168710,26638,89651,143890,30085,70271,147964,,,,24173,51518,142704,,,,27452,68237,129479
Senior government managers and officials,40.06,70.05,103.37,14.6,52.2,76.92,21.95,47.28,62.32,15,43.59,84.62,15,35.71,87.18,,,,15,43.59,84.62,28,55,93.41,15,43.59,84.62,17.54,38.46,81.25,,,,27.47,42.31,72.77
"Senior managers - financial, communications and other business services",30,68.4,97.44,31.25,64.1,96.15,,,,,,,19.85,42.95,76.92,,,,19.63,41.18,79.49,28.5,57.69,88.94,,,,32,57.44,86.05,,,,25.64,42.75,96.15
"Senior managers - health, education, social and community services and membership organizations",22.92,49.93,103.41,21.76,45.96,88,21.67,39.68,74.27,,,,22.35,41.9,81.91,,,,21.65,41.96,86.42,21.36,48.85,107.81,,,,26.57,47.08,101.39,,,,17.87,34.94,71.63
"Senior managers - trade, broadcasting and other services, n.e.c.",15,46.04,150.76,14.6,36.15,124.19,,,,11.7,28.91,84.51,,,,,,,12.55,35.91,111.11,14.25,46.92,172.82,,,,12.96,36.96,124.16,,,,19.25,36.06,82.96
"Senior managers - construction, transportation, production and utilities",27.61,58.48,106.9,14.6,49.32,154.74,13.07,46.24,140.4,14.73,34.95,81.68,,,,,,,12.55,48.82,147.86,14.25,51.15,161.54,,,,13.57,39.74,154.8,,,,13.1,35.88,121.97
Financial managers,32,52.46,88.94,25,44.23,67.31,22,45.67,65.87,26.44,44.1,57.69,26.44,43.48,72.12,30.39,54.11,75.11,28,46.7,61.54,26.32,49.04,71,25.35,38.46,66.67,35.1,52.88,72.31,,,,26.92,41.76,67.87
Human resources managers,33.65,55.29,79.33,24.04,43.27,74.52,21.15,42.86,62.5,31.32,43.27,72.12,28.85,44.97,72,,,,28.85,42.05,57.44,26.07,45.67,69.4,28.85,44.97,72,24.2,44.62,78.8,,,,25.71,50,76.92
Purchasing managers,27.5,55.29,86.54,20.19,40.43,64.9,23.17,37.66,70.61,20.57,34.54,70.09,25.08,42.73,97.27,,,,22.79,37.63,57.09,24.05,41.58,63.07,,,,20.41,45.24,70.53,,,,15.82,40.11,60.1
Other administrative services managers,19.73,42.43,99.06,25.64,35,50,18.71,34.99,68.14,23.36,33.11,57.69,23.36,33.11,57.69,,,,23.36,33.11,57.69,22,33.65,63.77,,,,19.65,37.58,68.77,,,,22.25,40,54.95
